"","Nr","P1","P2","P3_7","P3_8","P3_9","P3_10","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","M4","M4a","D1","D2","EAS_EMO","EAS_AKTYW","EAS_TOW","EAS_NIESM","D2.1","D2.3","D2.6","D2.7","D2.5","D2.10","D_nastroj_srednia","D_zmeczenie_pocz","D_zmeczenie_koniec","kroki_L","kroki_P","D_wola","D_pyta","D_dotyka","D_uzywa","D_długość_wyc","liczba_eksponatow","krokow_na_minute"
"1",1,5,1,7,3,5,7,5,5,4,4,4,4,3,4,7,4,1,2008,15,15,20,10,3,2,2,1,3,4,7.33333333333333,5,9,2977,2930,8,4,5,52,125,52,47.256
"2",2,3,2,7,7,1,4,4,3,4,5,4,5,5,1,7,4,2,2008,16,25,15,17,3,2,3,4,2,4,8.6,1,3,2020,1840,6,0,5,30,135,36,28.5925925925926
"3",3,2,2,5,3,4,3,4,3,2,5,2,3,2,4,7,4,2,2005,11,19,19,10,4,1,3,1,2,4,9,1,1,2844,2837,4,1,13,59,166,79,34.2228915662651
"4",4,2,1,5,5,5,5,4,3,4,5,4,2,3,3,1,3,1,2006,9,17,17,15,4,1,2,2,1,4,8.125,1,2,1030,868,2,2,18,63,161,90,11.7888198757764
"5",5,1,2,7,6,1,6,5,3,2,5,2,5,3,5,3,4,2,2009,16,21,17,6,4,1,3,1,1,4,8.6,1,1,2464,2464,62,23,2,66,165,78,29.8666666666667
"6",6,3,1,5,7,1,5,5,2,3,5,3,5,4,2,7,4,2,2009,17,24,21,10,4,1,4,2,1,4,8,3,5,3702,3315,6,7,25,26,153,53,45.8627450980392
"7",7,1,1,5,7,3,7,3,4,5,4,4,5,5,1,7,4,2,2009,22,24,14,22,4,2,2,2,2,3,8,1,8,2574,2819,23,12,35,53,165,78,32.6848484848485
"8",8,10,1,7,6,2,3,4,4,4,5,3,5,5,2,1,4,2,2006,21,15,11,10,4,1,2,2,2,4,8.125,3,1,1753,1829,1,6,52,24,153,67,23.4117647058824
"9",9,2,1,7,6,2,2,5,2,2,5,2,4,1,4,7,4,1,2010,14,20,16,15,4,1,3,1,2,4,8.875,1,3,1941,1336,66,0,1,61,150,53,21.8466666666667
"10",10,1,1,6,4,4,4,3,3,2,4,2,3,2,3,7,3,2,2009,12,18,20,12,4,1,3,1,1,4,6.25,1,9,2560,2520,3,0,20,60,161,83,31.5527950310559
"11",11,1,1,7,6,1,1,5,2,1,5,2,5,1,4,1,4,1,2009,11,17,20,10,4,2,3,1,1,4,7.25,1,5,1889,1732,7,16,17,56,157,63,23.0636942675159
"12",12,2,1,6,3,4,1,5,1,1,4,2,4,2,4,7,3,2,2006,11,18,19,7,4,1,4,2,1,4,9,2,1,2731,2713,17,15,5,67,140,66,38.8857142857143
"13",13,2,1,3,7,1,6,3,4,3,5,4,5,3,3,1,2,2,2009,20,24,21,16,4,2,1,2,2,3,8.33333333333333,1,9,3152,3064,1,7,43,26,154,53,40.3636363636364
"14",14,2,1,6,6,1,6,4,2,3,4,2,5,3,4,7,4,1,2006,15,20,14,10,3,2,2,2,2,3,5.4,5,6,1427,1207,3,2,20,58,180,63,14.6333333333333
"15",15,1,1,4,7,4,3,4,2,3,2,2,5,3,2,2,4,2,2008,13,23,22,9,3,1,2,1,2,4,8.88888888888889,2,3,2654,2551,7,12,14,36,175,43,29.7428571428571
"16",16,1,1,5,7,3,4,4,3,3,4,3,5,5,3,1,4,2,2009,13,20,18,10,4,1,2,1,3,3,8.16666666666667,2,9,2461,2246,6,6,23,20,121,32,38.900826446281
"17",17,1,1,7,6,7,3,3,3,5,5,4,5,4,2,7,4,2,2007,17,21,17,17,4,2,1,2,1,3,7.5,1,1,2535,2535,1,2,73,34,141,78,35.9574468085106
"18",18,1,1,7,4,1,4,4,2,3,4,3,4,2,3,7,4,1,2005,17,21,21,11,4,1,2,1,2,4,9,1,3,787,787,76,1,5,79,180,82,8.74444444444444
"19",19,1,1,7,5,1,1,5,3,2,3,2,4,2,3,7,3,2,2010,9,21,21,11,4,2,3,1,1,4,6.33333333333333,9,5,4066,3853,15,22,42,45,164,111,48.2865853658537
"20",20,1,1,7,3,3,2,5,2,3,5,2,4,2,5,1,3,1,2005,11,19,22,12,4,1,2,1,2,4,8.625,1,4,1312,1264,54,0,1,77,144,100,17.8888888888889
"21",21,2,1,6,6,1,2,5,2,3,4,2,5,2,3,7,4,1,2008,12,22,17,9,4,1,3,1,1,4,9,1,1,1727,1732,12,30,32,57,155,66,22.3161290322581
"22",22,1,2,7,4,1,1,5,2,1,5,1,4,2,3,1,2,2,2008,15,21,20,10,4,2,4,1,1,3,8.75,5,1,2478,2427,3,29,92,21,141,96,34.7872340425532
"23",23,2,1,6,6,1,1,5,3,3,5,3,4,1,4,7,4,2,2007,15,22,20,8,4,1,3,1,1,4,8.75,1,1,2654,2653,9,10,3,39,165,41,32.1636363636364
"24",24,1,1,5,7,2,4,4,3,3,5,3,4,3,3,1,4,1,2009,18,22,20,9,4,1,2,2,2,4,9,5,1,2383,2335,11,28,14,43,166,64,28.421686746988
"25",25,1,1,7,6,1,2,5,1,2,5,2,4,3,4,4,3,1,2007,15,23,22,7,4,1,4,1,1,4,9,3,1,1192,1388,26,7,30,55,170,56,15.1764705882353
"26",26,2,1,7,6,2,5,5,2,2,5,2,4,2,4,7,4,2,2010,12,21,16,8,4,2,2,1,3,4,7.33333333333333,1,9,1690,1771,7,10,52,45,170,46,20.3588235294118
"27",27,4,1,5,3,2,3,4,2,2,3,1,4,3,2,7,3,2,2005,11,20,16,11,4,1,5,1,2,4,7.25,3,4,925,921,14,13,56,45,160,67,11.5375
"28",28,3,1,6,5,2,2,5,4,5,5,3,5,1,4,7,3,1,2007,19,24,22,16,4,2,4,1,1,4,8.625,3,1,1962,2123,5,3,38,63,155,54,26.3548387096774
"29",29,1,1,6,5,6,5,3,3,3,4,3,3,2,4,3,3,1,2005,13,10,15,18,4,2,3,1,2,4,7.875,1,5,1365,1293,3,4,16,59,155,56,17.1483870967742
"30",30,1,1,7,6,1,1,4,1,3,4,2,5,3,3,7,4,2,2009,18,18,18,15,4,1,2,5,1,4,8.5,1,3,778,1126,7,15,16,40,158,40,12.0506329113924
"31",31,3,1,7,7,4,5,3,3,2,4,3,4,3,3,1,4,2,2005,15,19,15,5,4,1,2,2,3,4,8.625,1,3,1393,2149,24,40,91,38,142,86,24.943661971831
"32",32,3,1,6,6,1,1,5,2,3,5,3,5,1,4,7,4,1,2005,10,21,19,9,4,2,3,1,2,4,8.125,3,9,1897,1955,17,27,17,68,159,89,24.2264150943396
"33",33,2,1,6,4,6,3,4,2,4,3,4,3,3,2,7,4,2,2007,17,14,22,9,3,4,4,1,3,3,7,6,7,2420,2527,14,13,70,49,170,90,29.1
"34",34,2,1,5,5,5,6,4,3,3,3,3,4,3,3,3,3,2,2006,15,16,14,20,4,1,1,1,3,4,8.55555555555556,1,9,3236,3073,4,1,7,90,180,85,35.05
